表訂時間,往來地點中文,航空公司,航班狀態,實際時間
2025/4/29 21:30,香港,長榮航空,已到Arrived,2025/4/29 21:32
2025/4/29 21:35,深圳,立榮航空,已到Arrived,2025/4/29 22:16
2025/4/29 21:40,河內,中華航空,已到Arrived,2025/4/29 21:18
2025/4/29 21:45,大阪/關西,臺灣虎航,已到Arrived,2025/4/29 22:21
2025/4/29 21:50,上海/浦東,中華航空,已到Arrived,2025/4/29 22:11
2025/4/29 21:55,河內,長榮航空,已到Arrived,2025/4/29 21:54
2025/4/29 21:55,仙台,臺灣虎航,已到Arrived,2025/4/29 21:46
2025/4/29 21:55,名古屋,星宇航空,已到Arrived,2025/4/29 21:44
2025/4/29 22:00,峇里島,長榮航空,已到Arrived,2025/4/29 21:42
2025/4/29 22:00,上海/浦東,長榮航空,已到Arrived,2025/4/29 21:55
2025/4/29 22:05,香港,中華航空,已到Arrived,2025/4/29 22:03
2025/4/29 22:05,澳門,長榮航空,已到Arrived,2025/4/29 21:37
2025/4/29 22:10,胡志明市,中華航空,已到Arrived,2025/4/29 21:44
2025/4/29 22:10,曼谷,泰國國際航空,已到Arrived,2025/4/29 22:32
2025/4/29 22:10,琉球(沖繩),臺灣虎航,已到Arrived,2025/4/29 22:51
2025/4/29 22:10,釜山,臺灣虎航,已到Arrived,2025/4/29 22:26
2025/4/29 22:10,清邁,星宇航空,已到Arrived,2025/4/29 21:18
2025/4/29 22:20,仁川,中華航空,已到Arrived,2025/4/29 22:14
2025/4/29 22:20,曼谷,中華航空,已到Arrived,2025/4/29 22:15
2025/4/29 22:20,香港,星宇航空,已到Arrived,2025/4/29 22:02
2025/4/29 22:25,福岡,中華航空,已到Arrived,2025/4/29 22:19
2025/4/29 22:25,峴港,臺灣虎航,已到Arrived,2025/4/29 21:59
2025/4/29 22:30,馬尼拉,荷蘭皇家航空,已到Arrived,2025/4/29 21:57
2025/4/29 22:30,札幌,酷航,已到Arrived,2025/4/29 21:50
2025/4/29 22:35,峴港,星宇航空,已到Arrived,2025/4/29 22:07
2025/4/29 22:40,澳門,星宇航空,已到Arrived,2025/4/29 22:36
2025/4/29 22:40,曼谷,星宇航空,已到Arrived,2025/4/29 22:37
2025/4/29 22:45,東京,中華航空,已到Arrived,2025/4/29 22:42
2025/4/29 22:55,香港,長榮航空,已到Arrived,2025/4/29 22:51
2025/4/29 22:55,胡志明市,星宇航空,已到Arrived,2025/4/29 22:29
2025/4/29 22:55,宿霧,星宇航空,已到Arrived,2025/4/29 22:35
2025/4/29 23:00,大阪/關西,全亞洲航空,已到Arrived,2025/4/29 23:02
2025/4/29 23:10,香港,中華航空,已到Arrived,2025/4/29 22:59
2025/4/29 23:20,東京,長榮航空,已到Arrived,2025/4/29 23:05
2025/4/29 23:20,東京,星宇航空,已到Arrived,2025/4/29 23:27
2025/4/29 23:30,香港,長榮航空,已到Arrived,2025/4/29 23:27
2025/4/29 23:30,東京,臺灣虎航,已到Arrived,2025/4/29 23:42
2025/4/29 23:30,釜山,濟州航空,已到Arrived,2025/4/29 23:42
2025/4/29 23:35,北京,中華航空,已到Arrived,2025/4/29 23:18
2025/4/29 23:50,濟州,易斯達航空,已到Arrived,2025/4/29 23:21
2025/4/30 0:05,仁川,酷航,已到Arrived,2025/4/29 23:54
2025/4/30 0:05,大邱,真航空,已到Arrived,2025/4/30 0:02
2025/4/30 0:10,釜山,真航空,已到Arrived,2025/4/29 23:16
2025/4/30 0:15,大邱,德威航空,已到Arrived,2025/4/30 0:01
2025/4/30 0:20,東京,酷航,已到Arrived,2025/4/29 23:39
2025/4/30 0:20,普吉,臺灣虎航,已到Arrived,2025/4/30 0:25
2025/4/30 0:20,釜山,易斯達航空,已到Arrived,2025/4/29 23:33
2025/4/30 0:35,香港,國泰航空,已到Arrived,2025/4/30 0:21
2025/4/30 0:55,名古屋,樂桃航空,已到Arrived,2025/4/30 0:51
2025/4/30 1:00,馬尼拉,宿霧太平洋航空,已到Arrived,2025/4/30 1:01
2025/4/30 1:00,東京,樂桃航空,已到Arrived,2025/4/30 0:54
2025/4/30 1:30,馬尼拉,菲律賓亞洲航空,已到Arrived,2025/4/30 1:10
2025/4/30 1:30,大阪/關西,捷星日本航空,已到Arrived,2025/4/30 1:39
2025/4/30 1:30,富國島,星宇航空,已到Arrived,2025/4/30 1:42
2025/4/30 1:40,東京,捷星日本航空,已到Arrived,2025/4/30 1:39
2025/4/30 2:15,仁川,臺灣虎航,已到Arrived,2025/4/30 2:02
2025/4/30 2:35,舊金山,星宇航空,已到Arrived,2025/4/30 2:27
2025/4/30 4:05,舊金山,聯合航空,已到Arrived,2025/4/30 3:57
2025/4/30 4:45,胡志明市,越捷航空,已到Arrived,2025/4/30 4:40
2025/4/30 4:55,西雅圖,中華航空,已到Arrived,2025/4/30 4:31
2025/4/30 4:55,西雅圖,星宇航空,已到Arrived,2025/4/30 4:25
2025/4/30 5:00,洛杉磯,中華航空,已到Arrived,2025/4/30 5:17
2025/4/30 5:10,西雅圖,長榮航空,已到Arrived,2025/4/30 5:08
2025/4/30 5:15,洛杉磯,長榮航空,已到Arrived,2025/4/30 5:40
2025/4/30 5:15,舊金山,長榮航空,已到Arrived,2025/4/30 5:41
2025/4/30 5:15,紐約,長榮航空,已到Arrived,2025/4/30 6:40
2025/4/30 5:20,安大略,中華航空,已到Arrived,2025/4/30 5:41
2025/4/30 5:20,舊金山,長榮航空,已到Arrived,2025/4/30 4:58
